ticker,exchange,industry,companyType,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,stockRating,deltaInWeek,deltaInMonth,deltaInYear,shortName,industryEn,industryID,industryIDv2,website,datime
QNW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,122,0.0,20.0,20.0,2010.0,117,,-0.1,-0.229,-0.383,Cấp thoát nước và XD Quảng Ngãi,Utilities,277,7577,http://capnuocqni.com.vn,2312091722
QST,HNX,Truyền thông,CT,0,0.0,3.2,3.2,2004.0,181,,-0.02,-0.1,0.163,Sách Quảng Ninh,Media,256,5557,http://sachquangninh.vn,2312091722
RAT,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,185,0.005,5.9,5.9,2000.0,235,,-0.02,-0.041,0.568,VT và TM Đường sắt,Industrial Goods & Services,194,2779,https://ratraco.vn,2312091722
RAL,HOSE,Hàng cá nhân & Gia dụng,CT,0,0.019,23.5,23.5,2004.0,2371,3.0,-0.042,-0.025,0.275,Bóng đèn Phích nước Rạng Đông,Personal & Household Goods,221,3726,https://rangdong.com.vn,2312091722
RBC,UPCOM,Hóa chất,CT,305,0.0,9.9,10.0,2005.0,430,,-0.02,0.252,-0.717,Công Nghiệp và Xuất nhập khẩu Cao Su,Chemicals,150,1353,https://rubico.com.vn,2312091722
REE,HOSE,Hàng & Dịch vụ Công nghiệp,CT,16958,0.49,408.7,409.7,2005.0,2122,3.2,0.013,0.032,-0.188,Cơ Điện Lạnh REE,Industrial Goods & Services,189,2757,https://www.reecorp.com,2312091722
RDP,HOSE,Hóa chất,CT,1196,0.005,49.1,49.1,2005.0,546,2.6,0.023,-0.004,0.218,Nhựa Rạng Đông,Chemicals,150,1353,https://rangdongholding.com.vn,2312091722
RCD,UPCOM,Xây dựng và Vật liệu,CT,0,0.001,4.8,5.3,1993.0,15,,0.035,0.015,-0.254,XD - Địa ốc Cao su,Construction & Materials,181,2357,http://www.rcd-vrg.vn,2312091722
RCL,HNX,Bất động sản,CT,411,0.01,13.9,13.9,2003.0,28,2.3,0.026,0.083,-0.01,Địa Ốc Chợ Lớn,Real Estate,336,8633,http://www.cholonres.com.vn,2312091722
RCC,UPCOM,Xây dựng và Vật liệu,CT,896,0.0,32.1,32.1,2005.0,154,2.3,-0.014,0.005,-0.093,Công trình Đường sắt,Construction & Materials,181,2357,https://rccgroup.vn,2312091722
RGC,UPCOM,Truyền thông,CT,0,0.0,89.1,89.1,2007.0,606,2.3,-0.02,-0.019,-0.68,Đầu tư PV-Inconess,Media,254,5553,http://www.pv-inconess.com.vn,2312091722
S12,UPCOM,Xây dựng và Vật liệu,CT,448,0.111,5.0,5.0,2004.0,18,,0.046,-0.1,-0.564,Sông Đà 12,Construction & Materials,181,2357,http://www.sd12.com.vn,2312091722
S27,UPCOM,Xây dựng và Vật liệu,CT,257,0.01,1.6,1.6,1996.0,0,,-0.145,-0.166,-0.8,Sông Đà 27,Construction & Materials,181,2357,http://www.songda27.com.vn,2312091722
S4A,HOSE,"Điện, nước & xăng dầu khí đốt",CT,1053,0.001,42.2,42.2,2007.0,52,2.5,0.015,-0.005,0.116,Thủy điện Sê San 4A,Utilities,274,7535,http://sesan4a.com.vn,2312091722
S55,HNX,Xây dựng và Vật liệu,CT,0,0.004,10.0,10.0,2004.0,64,2.6,-0.039,-0.041,-0.102,Sông Đà 505,Construction & Materials,181,2357,http://www.songda505.com.vn,2312091722
RIC,UPCOM,Du lịch và Giải trí,CT,0,0.285,70.4,28.7,2005.0,465,2.3,0.004,-0.041,-0.444,Quốc tế Hoàng Gia,Travel & Leisure,260,5755,https://royalhalonghotel.com,2312091722
RTB,UPCOM,Hóa chất,CT,638,0.0,87.9,87.9,2009.0,3629,2.8,0.002,-0.008,-0.194,Cao su Tân Biên,Chemicals,150,1353,http://www.tabiruco.vn,2312091722
S72,UPCOM,Xây dựng và Vật liệu,CT,490,0.0,12.0,12.0,2004.0,16,,-0.02,-0.041,-0.418,Sông Đà 7.02,Construction & Materials,181,2357,http://www.songda702.com.vn,2312091722
S96,UPCOM,Xây dựng và Vật liệu,CT,0,0.014,11.2,11.2,2003.0,30,,-0.22,-0.241,-0.509,Sông Đà 9.06,Construction & Materials,181,2357,http://www.songda906.vn,2312091722
S74,UPCOM,Xây dựng và Vật liệu,CT,448,0.01,6.5,6.5,2009.0,14,,-0.02,-0.041,0.275,Sông Đà 7.04,Construction & Materials,181,2357,http://www.songda704.com.vn,2312091722
SAB,HOSE,Thực phẩm và đồ uống,CT,4201,0.618,1282.6,1282.6,2008.0,8550,2.5,-0.011,-0.033,-0.326,SABECO,Food & Beverage,214,3533,https://www.sabeco.com.vn,2312091722
SAL,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,155,0.0,8.3,8.3,2011.0,177,,-0.02,-0.041,0.337,Trục vớt Cứu hộ Việt Nam,Industrial Goods & Services,188,2753,http://visal.com.vn,2312091722
SAF,HNX,Thực phẩm và đồ uống,CT,326,0.036,12.0,12.0,2005.0,661,2.5,-0.02,-0.058,-0.004,Thực Phẩm SAFOCO,Food & Beverage,218,3577,http://www.safocofood.com,2312091722
SAC,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,469,0.032,4.0,4.1,2010.0,217,,-0.02,-0.03,0.123,Dịch vụ cảng Sài Gòn,Industrial Goods & Services,193,2777,http://www.sasteco.vn,2312091722
SAM,HOSE,Công nghệ Thông tin,CT,23270,0.007,380.0,380.0,1998.0,636,2.2,0.008,0.038,-0.088,SAM Holdings,Technology,314,9578,http://samholdings.com.vn,2312091722
S99,HNX,Xây dựng và Vật liệu,CT,8125,0.003,94.0,94.0,2003.0,699,2.8,0.037,0.093,0.199,Sông Đà 9.09 (SCI),Construction & Materials,181,2357,http://scigroup.vn,2312091722
SAP,UPCOM,Truyền thông,CT,0,0.001,1.3,1.3,2004.0,41,,-0.02,-0.441,0.782,In Sách TP.HCM,Media,256,5557,https://sapco.com.vn,2312091722
SBA,HOSE,"Điện, nước & xăng dầu khí đốt",CT,6162,0.003,60.5,60.5,2007.0,99,3.1,-0.024,0.012,0.227,Sông Ba JSC,Utilities,274,7535,http://www.songba.vn,2312091722
